thread nodes time
1381 1603 519.774292
1382 1647 519.774292
1383 12 519.774292
1384 3262 519.774292
1385 1649 519.774292
1386 1653 519.774292
1387 4 519.774292
1388 0 519.774292
1389 4988 519.774292
1390 1611 519.774292
1391 3 519.774292
1424 0 519.774292
1425 1679 519.774292
1426 3325 519.774292
1427 1615 519.774292
1428 1587 519.774292
1429 0 519.774292
1430 3 519.774292
1431 1655 519.774292
1432 0 519.774292
1433 0 519.774292
1434 1611 519.774292
1435 0 519.774292
1436 1 519.774292
1437 0 519.774292
1438 3295 519.774292
1439 0 519.774292
1184 1627 520.490112
1185 0 520.490112
1186 0 520.490112
1187 1602 520.490112
1188 0 520.490112
1189 1655 520.490112
1190 1696 520.490112
1191 3097 520.490112
1192 3356 520.490112
1193 3327 520.490112
1194 0 520.490112
1195 1634 520.490112
1196 1591 520.490112
1197 1665 520.490112
1198 4 520.490112
1199 3281 520.490112
1232 1 520.490112
1233 0 520.490112
1234 1606 520.490112
1235 1625 520.490112
1236 1610 520.490112
1237 1 520.490112
1238 0 520.490112
1239 0 520.490112
1240 1668 520.490112
1241 0 520.490112
1242 0 520.490112
1243 0 520.490112
1244 0 520.490112
1245 1 520.490112
1246 3266 520.490112
1247 1673 520.490112
896 0 525.858215
897 1608 525.858215
898 1 525.858215
899 1617 525.858215
900 0 525.858215
901 1 525.858215
902 1634 525.858215
903 1660 525.858215
904 1582 525.858215
905 1 525.858215
906 3310 525.858215
907 1606 525.858215
908 1554 525.858215
909 1668 525.858215
910 1604 525.858215
911 1610 525.858215
944 1630 525.858215
945 1644 525.858215
946 1697 525.858215
947 3276 525.858215
948 2 525.858215
